Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,kfold
69,6.2,2.2,4.5,1.5,1,0
92,6.1,3.0,4.6,1.4,1,0
148,6.5,3.0,5.2,2.0,2,0
114,5.7,2.5,5.0,2.0,2,0
44,5.0,3.5,1.6,0.6,0,0
40,5.1,3.4,1.5,0.2,0,0
72,6.1,2.8,4.0,1.3,1,0
108,7.3,2.9,6.3,1.8,2,0
88,6.3,2.3,4.4,1.3,1,0
83,5.8,2.7,3.9,1.2,1,0
33,5.2,4.1,1.5,0.1,0,0
11,5.4,3.7,1.5,0.2,0,0
113,6.8,3.0,5.5,2.1,2,0
43,4.4,3.2,1.3,0.2,0,0
75,6.4,2.9,4.3,1.3,1,0
132,7.9,3.8,6.4,2.0,2,0
131,7.4,2.8,6.1,1.9,2,0
56,5.7,2.8,4.5,1.3,1,0
13,4.8,3.0,1.4,0.1,0,0
95,5.6,2.7,4.2,1.3,1,0
146,6.7,3.0,5.2,2.3,2,0
18,5.1,3.5,1.4,0.3,0,0
30,4.7,3.2,1.6,0.2,0,0
122,5.6,2.8,4.9,2.0,2,0
103,7.1,3.0,5.9,2.1,2,0
137,6.3,3.4,5.6,2.4,2,0
134,6.3,2.8,5.1,1.5,2,1
10,4.9,3.1,1.5,0.1,0,0
136,7.7,3.0,6.1,2.3,2,1
12,4.8,3.4,1.6,0.2,0,0
138,6.4,3.1,5.5,1.8,2,1
37,5.5,3.5,1.3,0.2,0,1
80,5.7,2.6,3.5,1.0,1,0
109,6.7,2.5,5.8,1.8,2,1
67,5.6,3.0,4.5,1.5,1,0
45,5.1,3.8,1.9,0.4,0,1
106,7.6,3.0,6.6,2.1,2,1
15,5.8,4.0,1.2,0.2,0,1
81,5.5,2.4,3.8,1.1,1,1
100,5.7,2.8,4.1,1.3,1,1
31,4.8,3.1,1.6,0.2,0,1
135,6.1,2.6,5.6,1.4,2,1
9,4.4,2.9,1.4,0.2,0,1
121,6.9,3.2,5.7,2.3,2,1
22,5.1,3.7,1.5,0.4,0,1
79,6.0,2.9,4.5,1.5,1,1
2,4.9,3.0,1.4,0.2,0,1
16,5.7,4.4,1.5,0.4,0,1
120,6.0,2.2,5.0,1.5,2,1
73,6.3,2.5,4.9,1.5,1,1
20,5.1,3.8,1.5,0.3,0,1
34,5.5,4.2,1.4,0.2,0,1
82,5.5,2.4,3.7,1.0,1,1
47,5.1,3.8,1.6,0.2,0,2
62,5.9,3.0,4.2,1.5,1,1
78,6.7,3.0,5.0,1.7,1,1
32,5.4,3.4,1.5,0.4,0,2
50,5.0,3.3,1.4,0.2,0,2
96,5.7,3.0,4.2,1.2,1,1
119,7.7,2.6,6.9,2.3,2,1
144,6.8,3.2,5.9,2.3,2,1
21,5.4,3.4,1.7,0.2,0,2
52,6.4,3.2,4.5,1.5,1,1
91,5.5,2.6,4.4,1.2,1,1
61,5.0,2.0,3.5,1.0,1,2
127,6.2,2.8,4.8,1.8,2,2
139,6.0,3.0,4.8,1.8,2,2
71,5.9,3.2,4.8,1.8,1,2
84,6.0,2.7,5.1,1.6,1,2
60,5.2,2.7,3.9,1.4,1,2
126,7.2,3.2,6.0,1.8,2,2
147,6.3,2.5,5.0,1.9,2,2
141,6.7,3.1,5.6,2.4,2,2
7,4.6,3.4,1.4,0.3,0,2
4,4.6,3.1,1.5,0.2,0,2
86,6.0,3.4,4.5,1.6,1,2
23,4.6,3.6,1.0,0.2,0,2
70,5.6,2.5,3.9,1.1,1,2
115,5.8,2.8,5.1,2.4,2,2
14,4.3,3.0,1.1,0.1,0,2
17,5.4,3.9,1.3,0.4,0,2
129,6.4,2.8,5.6,2.1,2,2
26,5.0,3.0,1.6,0.2,0,2
74,6.1,2.8,4.7,1.2,1,2
104,6.3,2.9,5.6,1.8,2,2
65,5.6,2.9,3.6,1.3,1,2
110,7.2,3.6,6.1,2.5,2,2
89,5.6,3.0,4.1,1.3,1,2
46,4.8,3.0,1.4,0.3,0,3
125,6.7,3.3,5.7,2.1,2,2
64,6.1,2.9,4.7,1.4,1,2
27,5.0,3.4,1.6,0.4,0,3
76,6.6,3.0,4.4,1.4,1,3
3,4.7,3.2,1.3,0.2,0,3
116,6.4,3.2,5.3,2.3,2,3
128,6.1,3.0,4.9,1.8,2,3
39,4.4,3.0,1.3,0.2,0,3
142,6.9,3.1,5.1,2.3,2,3
93,5.8,2.6,4.0,1.2,1,3
145,6.7,3.3,5.7,2.5,2,3
59,6.6,2.9,4.6,1.3,1,3
101,6.3,3.3,6.0,2.5,2,3
55,6.5,2.8,4.6,1.5,1,3
77,6.8,2.8,4.8,1.4,1,3
130,7.2,3.0,5.8,1.6,2,3
133,6.4,2.8,5.6,2.2,2,3
36,5.0,3.2,1.2,0.2,0,3
53,6.9,3.1,4.9,1.5,1,3
48,4.6,3.2,1.4,0.2,0,3
150,5.9,3.0,5.1,1.8,2,3
58,4.9,2.4,3.3,1.0,1,3
68,5.8,2.7,4.1,1.0,1,3
29,5.2,3.4,1.4,0.2,0,3
85,5.4,3.0,4.5,1.5,1,3
149,6.2,3.4,5.4,2.3,2,3
38,4.9,3.1,1.5,0.1,0,3
112,6.4,2.7,5.3,1.9,2,3
117,6.5,3.0,5.5,1.8,2,4
140,6.9,3.1,5.4,2.1,2,4
63,6.0,2.2,4.0,1.0,1,3
98,6.2,2.9,4.3,1.3,1,4
42,4.5,2.3,1.3,0.3,0,3
51,7.0,3.2,4.7,1.4,1,4
8,5.0,3.4,1.5,0.2,0,3
143,5.8,2.7,5.1,1.9,2,4
6,5.4,3.9,1.7,0.4,0,4
123,7.7,2.8,6.7,2.0,2,4
87,6.7,3.1,4.7,1.5,1,4
105,6.5,3.0,5.8,2.2,2,4
111,6.5,3.2,5.1,2.0,2,4
1,5.1,3.5,1.4,0.2,0,4
107,4.9,2.5,4.5,1.7,2,4
102,5.8,2.7,5.1,1.9,2,4
24,5.1,3.3,1.7,0.5,0,4
25,4.8,3.4,1.9,0.2,0,4
97,5.7,2.9,4.2,1.3,1,4
54,5.5,2.3,4.0,1.3,1,4
49,5.3,3.7,1.5,0.2,0,4
5,5.0,3.6,1.4,0.2,0,4
90,5.5,2.5,4.0,1.3,1,4
124,6.3,2.7,4.9,1.8,2,4
99,5.1,2.5,3.0,1.1,1,4
94,5.0,2.3,3.3,1.0,1,4
35,4.9,3.1,1.5,0.1,0,4
57,6.3,3.3,4.7,1.6,1,4
41,5.0,3.5,1.3,0.3,0,4
66,6.7,3.1,4.4,1.4,1,4
118,7.7,3.8,6.7,2.2,2,4
19,5.7,3.8,1.7,0.3,0,4
28,5.2,3.5,1.5,0.2,0,4
